45161
Date/Time (UTC),Wind_Speed (kts),Wind_Gust (kts),Wind_from_Direction (degrees_true),Water_Temperature_at_Surface (fahrenheit),Significant_Wave_Height (ft),Significant_Wave_Period (s),significant_wave_from_direction (degrees_true),Air_Temperature (fahrenheit),Air_Pressure (mb),Thermistor_String_at_1m (fahrenheit),Thermistor_String_at_22m (fahrenheit)
10/16/2020 10:00:00,18.850194016,-19436.45616,-9999.0,59.0216,3.2152232,3.53,288.55,-17966.2,1018.98,-17966.2,-17966.2
10/16/2020 10:20:00,17.503890432,21.640381952,-9999.0,59.036,3.5104988,3.6,288.78,49.5878,1019.145,59.036,-17966.2
10/16/2020 10:40:00,16.885943696,20.611701824,-9999.0,59.0324,3.7073492,3.72,288.26,49.8686,1019.203,59.036,-17966.2
10/16/2020 11:00:00,16.359551824,19.697319488,-9999.0,59.0432,3.8385828,3.94,285.24,49.748,1019.203,59.036,-17966.2
10/16/2020 11:20:00,15.504456608,18.897234944,-9999.0,59.0288,3.7401576,3.7,283.99,49.4942,1019.253,59.036,-17966.2
10/16/2020 11:40:00,15.375580016,20.154510656,-9999.0,59.0072,4.0354332,3.76,281.52,49.4726,1019.155,59.0,-17966.2
10/16/2020 12:00:00,15.497458784,19.62112096,-9999.0,59.0144,4.0354332,4.0,284.37,49.487,1019.027,59.018,-17966.2
10/16/2020 12:20:00,15.58376528,18.973433472,-9999.0,59.0054,4.0682416,4.02,278.36,49.6634,1019.082,59.0,-17966.2
10/16/2020 12:40:00,15.21249184,18.782937152,-9999.0,58.9838,-32805.11916,-9999.0,-9999.0,49.9424,1019.123,58.982,-17966.2
10/16/2020 13:00:00,13.815648416,17.220867328,-9999.0,58.9874,3.608924,3.93,285.75,50.1692,1019.233,58.982,-17966.2
10/16/2020 13:20:00,14.6954304,18.28764672,-9999.0,58.9694,3.6417324,3.98,283.67,50.252,1019.253,58.964,-17966.2
10/16/2020 13:40:00,15.516508416,18.135249664,-9999.0,58.9712,3.608924,3.77,283.41,50.612,1019.315,58.964,-17966.2
10/16/2020 14:00:00,15.97253328,21.221290048,-9999.0,58.946,3.8713912,3.92,286.21,50.6606,1019.305,58.946,-17966.2
